,Brand Name,OS,Ram Type,RAM,Processor,GPU,Warranty,ScreenSize,Disk Type,DISK SIZE,Price
138,ASUS,Windows,DDR4,16,Intel,Others,1,15.6,SSD,512,89991
139,ASUS,Windows,DDR5,16,AMD,Others,1,15.6,SSD,1024,196990
140,HP,Windows,DDR4,8,Intel,Others,1,15.6,SSD,512,58900
141,MSI,Windows,DDR4,16,Intel,Others,2,15.6,SSD,512,85990
142,DELL,Windows,DDR4,8,AMD,Others,1,14.0,HDD,1024,33100
143,ASUS,Windows,DDR4,16,AMD,Others,1,15.6,SSD,1024,85990
144,Lenovo,Windows,DDR4,8,AMD,AMD,1,15.6,SSD,512,73490
145,Lenovo,Windows,DDR4,8,Intel,Others,1,15.6,HDD,1024,63491
146,Lenovo,Windows,DDR4,8,Intel,Others,2,14.0,SSD,256,36990
147,Lenovo,Windows,DDR4,8,Intel,Others,2,15.6,SSD,512,39991
148,ASUS,Windows,DDR4,8,AMD,AMD,1,14.0,SSD,512,38990
149,HP,Windows,DDR4,8,Intel,Others,1,15.6,SSD,512,67990
150,RedmiBook,Windows,DDR4,8,Intel,Others,1,15.6,SSD,512,39991
151,ASUS,Windows,DDR5,16,AMD,Others,1,15.6,SSD,1024,196990
152,HP,Windows,DDR4,8,Intel,Others,1,15.6,SSD,512,39791
153,APPLE,Mac,Others,16,Others,Others,1,15.6,SSD,1024,241991
154,APPLE,Mac,DDR4,8,Others,Others,1,14.0,SSD,512,104991
155,DELL,Windows,DDR4,8,AMD,AMD,1,15.6,SSD,512,42191
156,Lenovo,Windows,DDR4,8,AMD,AMD,2,15.6,SSD,512,38706
157,ASUS,Windows,DDR4,16,AMD,Others,1,15.6,SSD,1024,85990
158,ASUS,Windows,DDR4,8,Intel,Others,1,14.0,SSD,512,39991
159,ASUS,Windows,DDR5,16,Intel,Others,1,15.6,SSD,1024,99991
160,Lenovo,Windows,DDR4,8,AMD,AMD,2,15.6,SSD,512,35590
161,ASUS,Windows,DDR4,16,AMD,Others,1,15.6,SSD,1024,150990
162,APPLE,Mac,Others,32,Others,Others,1,15.6,SSD,1024,309490
163,ASUS,Windows,DDR4,16,Intel,Others,1,15.6,HDD,1024,64991
164,ASUS,Windows,DDR4,16,AMD,AMD,1,15.6,SSD,512,89991
165,ASUS,Windows,DDR4,16,AMD,AMD,1,15.6,SSD,512,85990
166,ASUS,Windows,DDR5,16,AMD,Others,1,15.6,SSD,1024,194991
167,Lenovo,Windows,DDR4,8,AMD,AMD,2,15.6,SSD,512,44991
168,APPLE,Mac,Others,16,Others,Others,1,14.0,SSD,1024,222991
169,Others,Others,Others,4,Intel,Intel,1,14.0,SSD,128,15990
170,Lenovo,Windows,DDR4,8,Intel,Others,2,14.0,SSD,256,36990
171,Lenovo,Windows,DDR4,8,Intel,Others,2,15.6,SSD,512,39991
