,Brand Name,OS,Ram Type,RAM,Processor,GPU,Warranty,ScreenSize,Disk Type,DISK SIZE,Price
133,HP,Windows,DDR4,16,Intel,Others,1,14.0,SSD,512,11.274681
134,HP,Windows,DDR4,8,AMD,AMD,1,15.6,SSD,512,10.288444
135,Lenovo,Windows,DDR4,8,AMD,AMD,2,15.6,SSD,512,10.56375
136,Infinix,Windows,Others,8,Intel,Others,1,14.0,SSD,256,10.341452
137,Lenovo,Windows,DDR4,16,Intel,Others,2,15.6,SSD,512,11.042778
138,ASUS,Windows,DDR4,16,Intel,Others,1,15.6,SSD,512,11.407465
139,ASUS,Windows,DDR5,16,AMD,Others,1,15.6,SSD,1024,12.190913
140,HP,Windows,DDR4,8,Intel,Others,1,15.6,SSD,512,10.983597
141,MSI,Windows,DDR4,16,Intel,Others,2,15.6,SSD,512,11.361998
142,DELL,Windows,DDR4,8,AMD,Others,1,14.0,HDD,1024,10.407289
143,ASUS,Windows,DDR4,16,AMD,Others,1,15.6,SSD,1024,11.361998
144,Lenovo,Windows,DDR4,8,AMD,AMD,1,15.6,SSD,512,11.204918
145,Lenovo,Windows,DDR4,8,Intel,Others,1,15.6,HDD,1024,11.058654
146,Lenovo,Windows,DDR4,8,Intel,Others,2,14.0,SSD,256,10.51843
147,Lenovo,Windows,DDR4,8,Intel,Others,2,15.6,SSD,512,10.59641
148,ASUS,Windows,DDR4,8,AMD,AMD,1,14.0,SSD,512,10.571086
149,HP,Windows,DDR4,8,Intel,Others,1,15.6,SSD,512,11.1271305
150,RedmiBook,Windows,DDR4,8,Intel,Others,1,15.6,SSD,512,10.59641
151,ASUS,Windows,DDR5,16,AMD,Others,1,15.6,SSD,1024,12.190913
152,HP,Windows,DDR4,8,Intel,Others,1,15.6,SSD,512,10.591396
153,APPLE,Mac,Others,16,Others,Others,1,15.6,SSD,1024,12.396656
154,APPLE,Mac,DDR4,8,Others,Others,1,14.0,SSD,512,11.56163
155,DELL,Windows,DDR4,8,AMD,AMD,1,15.6,SSD,512,10.649962
156,Lenovo,Windows,DDR4,8,AMD,AMD,2,15.6,SSD,512,10.56375
157,ASUS,Windows,DDR4,16,AMD,Others,1,15.6,SSD,1024,11.361998
158,ASUS,Windows,DDR4,8,Intel,Others,1,14.0,SSD,512,10.59641
159,ASUS,Windows,DDR5,16,Intel,Others,1,15.6,SSD,1024,11.5128355
160,Lenovo,Windows,DDR4,8,AMD,AMD,2,15.6,SSD,512,10.479848
161,ASUS,Windows,DDR4,16,AMD,Others,1,15.6,SSD,1024,11.924975
162,APPLE,Mac,Others,32,Others,Others,1,15.6,SSD,1024,12.642684
163,ASUS,Windows,DDR4,16,Intel,Others,1,15.6,HDD,1024,11.082005
164,ASUS,Windows,DDR4,16,AMD,AMD,1,15.6,SSD,512,11.407465
165,ASUS,Windows,DDR4,16,AMD,AMD,1,15.6,SSD,512,11.361998
166,ASUS,Windows,DDR5,16,AMD,Others,1,15.6,SSD,1024,12.180709
167,Lenovo,Windows,DDR4,8,AMD,AMD,2,15.6,SSD,512,10.714218
168,APPLE,Mac,Others,16,Others,Others,1,14.0,SSD,1024,12.314887
169,Others,Others,Others,4,Intel,Intel,1,14.0,SSD,128,9.679781
170,Lenovo,Windows,DDR4,8,Intel,Others,2,14.0,SSD,256,10.51843
171,Lenovo,Windows,DDR4,8,Intel,Others,2,15.6,SSD,512,10.59641
172,DELL,Windows,DDR4,8,Intel,Others,1,15.6,HDD,1024,10.734242
173,ASUS,Windows,Others,16,Intel,Others,1,15.6,SSD,512,11.289669
174,ASUS,Windows,DDR4,8,Intel,Others,1,14.0,SSD,512,10.950648
175,DELL,Windows,DDR4,8,AMD,AMD,1,15.6,SSD,256,10.462846
